ޜ�0��p��P��P����0��Q��A�A���P������0��0����A�p������0��p����P��p����A�0��P�������A�x��P��A����0��P����battery_voltage	64.00
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.1122000217
calculte_milli_coulombs_transffred	2112.2001953125
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42272.00
last_read_micros	5925188
current_read_micros	5967460
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.1136000156
calculte_milli_coulombs_transffred	2113.6000976562
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

V bat
68.46 V
dt_ms	67512.00
last_read_micros	5967460
current_read_micros	6034972
shunt_voltage	-0.25
calculte_coulombs_transffred	-3.3756000995
calculte_milli_coulombs_transffred	3375.6000976562
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	39476.00
last_read_micros	6034972
current_read_micros	6074448
shunt_voltage	-0.37
calculte_coulombs_transffred	-1.9737998962
calculte_milli_coulombs_transffred	1973.8000488281
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42272.00
last_read_micros	6074448
current_read_micros	6116720
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.1136000156
calculte_milli_coulombs_transffred	2113.6000976562
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42244.00
last_read_micros	6116720
current_read_micros	6158964
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.1122000217
calculte_milli_coulombs_transffred	2112.2001953125
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42220.00
last_read_micros	6158964
current_read_micros	6201184
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.1110000610
calculte_milli_coulombs_transffred	2111.0000000000
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42256.00
last_read_micros	6201184
current_read_micros	6243440
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.1127998828
calculte_milli_coulombs_transffred	2112.8000488281
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42252.00
last_read_micros	6243440
current_read_micros	6285692
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.1126000881
calculte_milli_coulombs_transffred	2112.6000976562
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

BAT PERCENT
100.00 %
dt_ms	78216.00
last_read_micros	6285692
current_read_micros	6363908
shunt_voltage	-0.25
calculte_coulombs_transffred	-3.9107999801
calculte_milli_coulombs_transffred	3910.8002929687
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	39476.00
last_read_micros	6363908
current_read_micros	6403384
shunt_voltage	-0.37
calculte_coulombs_transffred	-1.9737998962
calculte_milli_coulombs_transffred	1973.8000488281
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42264.00
last_read_micros	6403384
current_read_micros	6445648
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.1131999492
calculte_milli_coulombs_transffred	2113.2001953125
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42228.00
last_read_micros	6445648
current_read_micros	6487876
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.1113998889
calculte_milli_coulombs_transffred	2111.4001464843
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42244.00
last_read_micros	6487876
current_read_micros	6530120
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.1122000217
calculte_milli_coulombs_transffred	2112.2001953125
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42260.00
last_read_micros	6530120
current_read_micros	6572380
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.1129999160
calculte_milli_coulombs_transffred	2113.0000000000
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42256.00
last_read_micros	6572380
current_read_micros	6614636
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.1127998828
calculte_milli_coulombs_transffred	2112.8000488281
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

BAT PERCENT
100.00 %
dt_ms	78176.00
last_read_micros	6614636
current_read_micros	6692812
shunt_voltage	-0.25
calculte_coulombs_transffred	-3.9087999343
calculte_milli_coulombs_transffred	3908.8002929687
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	39496.00
last_read_micros	6692812
current_read_micros	6732308
shunt_voltage	-0.37
calculte_coulombs_transffred	-1.9748000144
calculte_milli_coulombs_transffred	1974.8000488281
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42228.00
last_read_micros	6732308
current_read_micros	6774536
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.1113998889
calculte_milli_coulombs_transffred	2111.4001464843
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42268.00
last_read_micros	6774536
current_read_micros	6816804
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.1133999824
calculte_milli_coulombs_transffred	2113.4001464843
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42220.00
last_read_micros	6816804
current_read_micros	6859024
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.1110000610
calculte_milli_coulombs_transffred	2111.0000000000
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42244.00
last_read_micros	6859024
current_read_micros	6901268
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.1122000217
calculte_milli_coulombs_transffred	2112.2001953125
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42248.00
last_read_micros	6901268
current_read_micros	6943516
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.1124000549
calculte_milli_coulombs_transffred	2112.4001464843
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

BAT PERCENT
100.00 %
dt_ms	78232.00
last_read_micros	6943516
current_read_micros	7021748
shunt_voltage	-0.25
calculte_coulombs_transffred	-3.9115999221
calculte_milli_coulombs_transffred	3911.6000976562
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	39476.00
last_read_micros	7021748
current_read_micros	7061224
shunt_voltage	-0.25
calculte_coulombs_transffred	-1.9737998962
calculte_milli_coulombs_transffred	1973.8000488281
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42248.00
last_read_micros	7061224
current_read_micros	7103472
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.1124000549
calculte_milli_coulombs_transffred	2112.4001464843
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42244.00
last_read_micros	7103472
current_read_micros	7145716
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.1122000217
calculte_milli_coulombs_transffred	2112.2001953125
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42264.00
last_read_micros	7145716
current_read_micros	7187980
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.1131999492
calculte_milli_coulombs_transffred	2113.2001953125
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42228.00
last_read_micros	7187980
current_read_micros	7230208
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.1113998889
calculte_milli_coulombs_transffred	2111.4001464843
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42256.00
last_read_micros	7230208
current_read_micros	7272464
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.1127998828
calculte_milli_coulombs_transffred	2112.8000488281
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

BAT PERCENT
100.00 %
dt_ms	78196.00
last_read_micros	7272464
current_read_micros	7350660
shunt_voltage	-0.25
calculte_coulombs_transffred	-3.9098000526
calculte_milli_coulombs_transffred	3909.8002929687
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	39500.00
last_read_micros	7350660
current_read_micros	7390160
shunt_voltage	-0.37
calculte_coulombs_transffred	-1.9750000000
calculte_milli_coulombs_transffred	1975.0001220703
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42224.00
last_read_micros	7390160
current_read_micros	7432384
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.1112000942
calculte_milli_coulombs_transffred	2111.2001953125
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42244.00
last_read_micros	7432384
current_read_micros	7474628
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.1122000217
calculte_milli_coulombs_transffred	2112.2001953125
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42244.00
last_read_micros	7474628
current_read_micros	7516872
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.1122000217
calculte_milli_coulombs_transffred	2112.2001953125
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42248.00
last_read_micros	7516872
current_read_micros	7559120
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.1124000549
calculte_milli_coulombs_transffred	2112.4001464843
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42244.00
last_read_micros	7559120
current_read_micros	7601364
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.1122000217
calculte_milli_coulombs_transffred	2112.2001953125
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

BAT PERCENT
100.00 %
dt_ms	78244.00
last_read_micros	7601364
current_read_micros	7679608
shunt_voltage	-0.37
calculte_coulombs_transffred	-3.9121999740
calculte_milli_coulombs_transffred	3912.2001953125
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	39496.00
last_read_micros	7679608
current_read_micros	7719104
shunt_voltage	-0.37
calculte_coulombs_transffred	-1.9748000144
calculte_milli_coulombs_transffred	1974.8000488281
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42228.00
last_read_micros	7719104
current_read_micros	7761332
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.1113998889
calculte_milli_coulombs_transffred	2111.4001464843
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42244.00
last_read_micros	7761332
current_read_micros	7803576
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.1122000217
calculte_milli_coulombs_transffred	2112.2001953125
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42264.00
last_read_micros	7803576
current_read_micros	7845840
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.1131999492
calculte_milli_coulombs_transffred	2113.2001953125
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42224.00
last_read_micros	7845840
current_read_micros	7888064
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.1112000942
calculte_milli_coulombs_transffred	2111.2001953125
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42264.00
last_read_micros	7888064
current_read_micros	7930328
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.1131999492
calculte_milli_coulombs_transffred	2113.2001953125
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

BAT PERCENT
100.00 %
dt_ms	78204.00
last_read_micros	7930328
current_read_micros	8008532
shunt_voltage	-0.25
calculte_coulombs_transffred	-3.9101999282
calculte_milli_coulombs_transffred	3910.2001953125
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	39476.00
last_read_micros	8008532
current_read_micros	8048008
shunt_voltage	-0.37
calculte_coulombs_transffred	-1.9737998962
calculte_milli_coulombs_transffred	1973.8000488281
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42248.00
