�����������������8K؟�����ў����������8K���8K���8K���8K����������K��������؟����؟��������������������8K؟�����ў����������8K���8K���8K���8K����������K��������؟����؟��������������������8K؟�����ў����������8K���8K���8K���8K�����battery_voltage	64.00
dt_ms	41732.00
last_read_micros	4581444
current_read_micros	4623176
shunt_voltage	0.00
calculte_coulombs_transffred	-2.0866000652
calculte_milli_coulombs_transffred	-329307.2187500000
battery_capacity_coulomb	53995.1757812500
battery_capacity_milli_coulomb	53995178
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.22141
% bat	49995.53125
% batA	0.00000
% batB	0.00000
% batC	-45.24274

dt_ms	41752.00
last_read_micros	4623176
current_read_micros	4664928
shunt_voltage	0.00
calculte_coulombs_transffred	-2.0875999927
calculte_milli_coulombs_transffred	-328797.0000000000
battery_capacity_coulomb	53993.5507812500
battery_capacity_milli_coulomb	53993551
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.22751
% bat	49994.03125
% batA	0.00000
% batB	0.00000
% batC	-56.59180

V bat
0.82 V
dt_ms	65504.00
last_read_micros	4664928
current_read_micros	4730432
shunt_voltage	0.00
calculte_coulombs_transffred	-3.2751998901
calculte_milli_coulombs_transffred	-516892.0937500000
battery_capacity_coulomb	53992.4335937500
battery_capacity_milli_coulomb	53992434
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.23057
% bat	49992.99218
% batA	0.00000
% batB	0.00000
% batC	-64.38337

dt_ms	39156.00
last_read_micros	4730432
current_read_micros	4769588
shunt_voltage	0.00
calculte_coulombs_transffred	-1.9578000068
calculte_milli_coulombs_transffred	-308980.0000000000
battery_capacity_coulomb	53999.8320312500
battery_capacity_milli_coulomb	53999830
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.20920
% bat	49999.84375
% batA	0.00000
% batB	0.00000
% batC	-12.79297

dt_ms	41728.00
last_read_micros	4769588
current_read_micros	4811316
shunt_voltage	0.00
calculte_coulombs_transffred	-2.0864000320
calculte_milli_coulombs_transffred	-329275.6562500000
battery_capacity_coulomb	54018.5273437500
battery_capacity_milli_coulomb	54018530
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.15122
% bat	50017.16015
% batA	0.00000
% batB	100.00000
% batC	117.64788

dt_ms	41912.00
last_read_micros	4811316
current_read_micros	4853228
shunt_voltage	0.00
calculte_coulombs_transffred	-2.0955998897
calculte_milli_coulombs_transffred	-330057.0000000000
battery_capacity_coulomb	54016.9375000000
battery_capacity_milli_coulomb	54016935
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.15732
% bat	50015.68359
% batA	0.00000
% batB	100.00000
% batC	106.52204

dt_ms	41904.00
last_read_micros	4853228
current_read_micros	4895132
shunt_voltage	0.00
calculte_coulombs_transffred	-2.0952000617
calculte_milli_coulombs_transffred	-330664.4687500000
battery_capacity_coulomb	54014.5585937500
battery_capacity_milli_coulomb	54014558
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.16342
% bat	50013.48046
% batA	0.00000
% batB	0.00000
% batC	89.94141

dt_ms	41652.00
last_read_micros	4895132
current_read_micros	4936784
shunt_voltage	0.00
calculte_coulombs_transffred	-2.0825998783
calculte_milli_coulombs_transffred	-328675.9375000000
battery_capacity_coulomb	54011.5742187500
battery_capacity_milli_coulomb	54011574
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.17258
% bat	50010.71875
% batA	0.00000
% batB	0.00000
% batC	69.12667

dt_ms	41648.00
last_read_micros	4936784
current_read_micros	4978432
shunt_voltage	0.00
calculte_coulombs_transffred	-2.0824000835
calculte_milli_coulombs_transffred	-328644.3750000000
battery_capacity_coulomb	54010.5781250000
battery_capacity_milli_coulomb	54010579
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.17563
% bat	50009.79687
% batA	0.00000
% batB	0.00000
% batC	62.18610

BAT PERCENT
50.01 %
dt_ms	76100.00
last_read_micros	4978432
current_read_micros	5054532
shunt_voltage	0.00
calculte_coulombs_transffred	-3.8050001144
calculte_milli_coulombs_transffred	-599287.5000000000
battery_capacity_coulomb	54009.6171875000
battery_capacity_milli_coulomb	54009615
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.17868
% bat	50008.90234
% batA	0.00000
% batB	0.00000
% batC	55.46177

dt_ms	39076.00
last_read_micros	5054532
current_read_micros	5093608
shunt_voltage	0.00
calculte_coulombs_transffred	-1.9538000106
calculte_milli_coulombs_transffred	-308348.7187500000
battery_capacity_coulomb	54000.1523437500
battery_capacity_milli_coulomb	54000152
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.20615
% bat	50000.14062
% batA	0.00000
% batB	0.00000
% batC	-10.54687

dt_ms	41732.00
last_read_micros	5093608
current_read_micros	5135340
shunt_voltage	0.00
calculte_coulombs_transffred	-2.0866000652
calculte_milli_coulombs_transffred	-329307.2187500000
battery_capacity_coulomb	54019.4843750000
battery_capacity_milli_coulomb	54019484
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.14817
% bat	50018.03906
% batA	0.00000
% batB	100.00000
% batC	124.30245

dt_ms	41908.00
last_read_micros	5135340
current_read_micros	5177248
shunt_voltage	0.00
calculte_coulombs_transffred	-2.0954000949
calculte_milli_coulombs_transffred	-330025.5312500000
battery_capacity_coulomb	54017.8554687500
battery_capacity_milli_coulomb	54017857
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.15427
% bat	50016.52734
% batA	0.00000
% batB	100.00000
% batC	112.95341

dt_ms	41904.00
last_read_micros	5177248
current_read_micros	5219152
shunt_voltage	0.00
calculte_coulombs_transffred	-2.0952000617
calculte_milli_coulombs_transffred	-329994.0000000000
battery_capacity_coulomb	54015.5117187500
battery_capacity_milli_coulomb	54015512
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.16037
% bat	50014.36718
% batA	0.00000
% batB	0.00000
% batC	96.59599

dt_ms	41648.00
last_read_micros	5219152
current_read_micros	5260800
shunt_voltage	0.00
calculte_coulombs_transffred	-2.0824000835
calculte_milli_coulombs_transffred	-328644.3750000000
battery_capacity_coulomb	54013.1992187500
battery_capacity_milli_coulomb	54013198
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.16648
% bat	50012.22265
% batA	0.00000
% batB	0.00000
% batC	80.45480

dt_ms	41660.00
last_read_micros	5260800
current_read_micros	5302460
shunt_voltage	0.00
calculte_coulombs_transffred	-2.0829999446
calculte_milli_coulombs_transffred	-328739.0937500000
battery_capacity_coulomb	54012.2304687500
battery_capacity_milli_coulomb	54012234
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.16953
% bat	50011.32421
% batA	0.00000
% batB	0.00000
% batC	73.73047

BAT PERCENT
50.01 %
dt_ms	76072.00
last_read_micros	5302460
current_read_micros	5378532
shunt_voltage	0.00
calculte_coulombs_transffred	-3.8036001205
calculte_milli_coulombs_transffred	-599067.0625000000
battery_capacity_coulomb	54011.1757812500
battery_capacity_milli_coulomb	54011175
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.17258
% bat	50010.34765
% batA	0.00000
% batB	0.00000
% batC	66.34347

dt_ms	39076.00
last_read_micros	5378532
current_read_micros	5417608
shunt_voltage	0.00
calculte_coulombs_transffred	-1.9538000106
calculte_milli_coulombs_transffred	-307723.5000000000
battery_capacity_coulomb	54001.9335937500
battery_capacity_milli_coulomb	54001932
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.20310
% bat	50001.78906
% batA	0.00000
% batB	0.00000
% batC	1.86942

dt_ms	41556.00
last_read_micros	5417608
current_read_micros	5459164
shunt_voltage	0.00
calculte_coulombs_transffred	-2.0778000354
calculte_milli_coulombs_transffred	-327918.4062500000
battery_capacity_coulomb	54021.8867187500
battery_capacity_milli_coulomb	54021889
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.14206
% bat	50020.26562
% batA	0.00000
% batB	100.00000
% batC	141.07839

dt_ms	41920.00
last_read_micros	5459164
current_read_micros	5501084
shunt_voltage	0.00
calculte_coulombs_transffred	-2.0959999561
calculte_milli_coulombs_transffred	-330790.7500000000
battery_capacity_coulomb	54021.6523437500
battery_capacity_milli_coulomb	54021651
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.14206
% bat	50020.05078
% batA	0.00000
% batB	100.00000
% batC	139.41824

dt_ms	41900.00
last_read_micros	5501084
current_read_micros	5542984
shunt_voltage	0.00
calculte_coulombs_transffred	-2.0950000286
calculte_milli_coulombs_transffred	-330632.9062500000
battery_capacity_coulomb	54018.5390625000
battery_capacity_milli_coulomb	54018541
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.15122
% bat	50017.16796
% batA	0.00000
% batB	100.00000
% batC	117.72461

dt_ms	41904.00
last_read_micros	5542984
current_read_micros	5584888
shunt_voltage	0.00
calculte_coulombs_transffred	-2.0952000617
calculte_milli_coulombs_transffred	-330664.4687500000
battery_capacity_coulomb	54015.5898437500
battery_capacity_milli_coulomb	54015589
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.16037
% bat	50014.43359
% batA	0.00000
% batB	0.00000
% batC	97.13310

dt_ms	41648.00
last_read_micros	5584888
current_read_micros	5626536
shunt_voltage	0.00
calculte_coulombs_transffred	-2.0824000835
calculte_milli_coulombs_transffred	-327978.0000000000
battery_capacity_coulomb	54012.6054687500
battery_capacity_milli_coulomb	54012605
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.16953
% bat	50011.67187
% batA	0.00000
% batB	0.00000
% batC	76.31836

BAT PERCENT
50.01 %
dt_ms	76072.00
last_read_micros	5626536
current_read_micros	5702608
shunt_voltage	0.00
calculte_coulombs_transffred	-3.8036001205
calculte_milli_coulombs_transffred	-599067.0625000000
battery_capacity_coulomb	54012.3085937500
battery_capacity_milli_coulomb	54012307
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.16953
% bat	50011.39843
% batA	0.00000
% batB	0.00000
% batC	74.23968

dt_ms	39080.00
last_read_micros	5702608
current_read_micros	5741688
shunt_voltage	0.00
calculte_coulombs_transffred	-1.9539999961
calculte_milli_coulombs_transffred	-307755.0312500000
battery_capacity_coulomb	54003.0625000000
battery_capacity_milli_coulomb	54003064
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.19700
% bat	50002.83593
% batA	0.00000
% batB	0.00000
% batC	9.76562

dt_ms	41564.00
last_read_micros	5741688
current_read_micros	5783252
shunt_voltage	0.00
calculte_coulombs_transffred	-2.0782001018
calculte_milli_coulombs_transffred	-327316.5312500000
battery_capacity_coulomb	54022.9882812500
battery_capacity_milli_coulomb	54022989
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.13901
% bat	50021.28515
% batA	0.00000
% batB	100.00000
% batC	148.75138

dt_ms	41904.00
last_read_micros	5783252
current_read_micros	5825156
shunt_voltage	0.00
calculte_coulombs_transffred	-2.0952000617
calculte_milli_coulombs_transffred	-330664.4687500000
battery_capacity_coulomb	54023.3515625000
battery_capacity_milli_coulomb	54023353
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.13596
% bat	50021.62109
% batA	0.00000
% batB	100.00000
% batC	151.29045

dt_ms	41912.00
last_read_micros	5825156
current_read_micros	5867068
shunt_voltage	0.00
calculte_coulombs_transffred	-2.0955998897
calculte_milli_coulombs_transffred	-330057.0000000000
battery_capacity_coulomb	54020.3671875000
battery_capacity_milli_coulomb	54020369
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.14511
% bat	50018.85937
% batA	0.00000
% batB	100.00000
% batC	130.47572

dt_ms	41900.00
last_read_micros	5867068
current_read_micros	5908968
shunt_voltage	0.00
calculte_coulombs_transffred	-2.0950000286
calculte_milli_coulombs_transffred	-329962.5000000000
battery_capacity_coulomb	54017.9921875000
battery_capacity_milli_coulomb	54017992
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.15427
% bat	50016.66015
% batA	0.00000
% batB	100.00000
% batC	113.89509

dt_ms	41904.00
last_read_micros	5908968
current_read_micros	5950872
shunt_voltage	0.00
calculte_coulombs_transffred	-2.0952000617
calculte_milli_coulombs_transffred	-329994.0000000000
battery_capacity_coulomb	54015.7109375000
battery_capacity_milli_coulomb	54015710
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.16037
% bat	50014.55078
% batA	0.00000
% batB	0.00000
% batC	97.97712

BAT PERCENT
50.01 %
dt_ms	76076.00
last_read_micros	5950872
current_read_micros	6026948
shunt_voltage	0.00
calculte_coulombs_transffred	-3.8038001060
calculte_milli_coulombs_transffred	-600315.7500000000
battery_capacity_coulomb	54013.3945312500
battery_capacity_milli_coulomb	54013396
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.16648
% bat	50012.40234
% batA	0.00000
% batB	0.00000
% batC	81.83594

dt_ms	39076.00
last_read_micros	6026948
current_read_micros	6066024
shunt_voltage	0.00
calculte_coulombs_transffred	-1.9538000106
calculte_milli_coulombs_transffred	-307723.5000000000
battery_capacity_coulomb	54002.9023437500
battery_capacity_milli_coulomb	54002905
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.20005
% bat	50002.68750
% batA	0.00000
% batB	0.00000
% batC	8.65653

dt_ms	41556.00
last_read_micros	6066024
current_read_micros	6107580
shunt_voltage	0.00
calculte_coulombs_transffred	-2.0778000354
calculte_milli_coulombs_transffred	-327253.5312500000
battery_capacity_coulomb	54022.8632812500
battery_capacity_milli_coulomb	54022862
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.13901
% bat	50021.17187
% batA	0.00000
% batB	100.00000
% batC	147.86550

dt_ms	41912.00
last_read_micros	6107580
current_read_micros	6149492
shunt_voltage	0.00
calculte_coulombs_transffred	-2.0955998897
calculte_milli_coulombs_transffred	-330057.0000000000
battery_capacity_coulomb	54023.2890625000
battery_capacity_milli_coulomb	54023289
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.13596
% bat	50021.56250
% batA	0.00000
% batB	100.00000
% batC	150.84402

dt_ms	41904.00
last_read_micros	6149492
current_read_micros	6191396
shunt_voltage	0.00
calculte_coulombs_transffred	-2.0952000617
calculte_milli_coulombs_transffred	-329994.0000000000
battery_capacity_coulomb	54020.9101562500
battery_capacity_milli_coulomb	54020912
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.14511
% bat	50019.35937
% batA	0.00000
% batB	100.00000
% batC	134.26339

dt_ms	41900.00
last_read_micros	6191396
current_read_micros	6233296
shunt_voltage	0.00
calculte_coulombs_transffred	-2.0950000286
calculte_milli_coulombs_transffred	-330632.9062500000
battery_capacity_coulomb	54018.6015625000
battery_capacity_milli_coulomb	54018598
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.15122
% bat	50017.22265
% batA	0.00000
% batB	100.00000
% batC	118.12221

dt_ms	41912.00
last_read_micros	6233296
current_read_micros	6275208
shunt_voltage	0.00
calculte_coulombs_transffred	-2.0955998897
calculte_milli_coulombs_transffred	-330727.5937500000
battery_capacity_coulomb	54015.6484375000
battery_capacity_milli_coulomb	54015646
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.16037
% bat	50014.48828
% batA	0.00000
% batB	0.00000
% batC	97.53070

BAT PERCENT
50.01 %
dt_ms	76076.00
last_read_micros	6275208
current_read_micros	6351284
shunt_voltage	0.00
calculte_coulombs_transffred	-3.8038001060
calculte_milli_coulombs_transffred	-601532.9375000000
battery_capacity_coulomb	54012.6015625000
battery_capacity_milli_coulomb	54012599
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.16953
% bat	50011.66406
% batA	0.00000
% batB	0.00000
% batC	76.27651

dt_ms	39084.00
last_read_micros	6351284
current_read_micros	6390368
shunt_voltage	0.00
calculte_coulombs_transffred	-1.9541999816
calculte_milli_coulombs_transffred	-307786.5000000000
battery_capacity_coulomb	54000.8906250000
battery_capacity_milli_coulomb	54000891
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.20615
% bat	50000.82421
% batA	0.00000
% batB	0.00000
% batC	-5.39202

dt_ms	41640.00
last_read_micros	6390368
current_read_micros	6432008
shunt_voltage	0.00
calculte_coulombs_transffred	-2.0820000171
calculte_milli_coulombs_transffred	-328581.2500000000
battery_capacity_coulomb	54020.7851562500
battery_capacity_milli_coulomb	54020785
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.14511
% bat	50019.24218
% batA	0.00000
% batB	100.00000
% batC	133.37751

dt_ms	41904.00
last_read_micros	6432008
current_read_micros	6473912
shunt_voltage	0.00
calculte_coulombs_transffred	-2.0952000617
calculte_milli_coulombs_transffred	-329994.0000000000
battery_capacity_coulomb	54019.8828125000
battery_capacity_milli_coulomb	54019884
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.14817
% bat	50018.41406
% batA	0.00000
% batB	100.00000
% batC	127.09264

dt_ms	41904.00
last_read_micros	6473912
current_read_micros	6515816
shunt_voltage	0.00
calculte_coulombs_transffred	-2.0952000617
calculte_milli_coulombs_transffred	-330664.4687500000
battery_capacity_coulomb	54017.5664062500
battery_capacity_milli_coulomb	54017570
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.15427
% bat	50016.26562
% batA	0.00000
% batB	100.00000
% batC	110.95146

dt_ms	41912.00
last_read_micros	6515816
current_read_micros	6557728
shunt_voltage	0.00
calculte_coulombs_transffred	-2.0955998897
calculte_milli_coulombs_transffred	-330727.5937500000
battery_capacity_coulomb	54014.5859375000
battery_capacity_milli_coulomb	54014586
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.16342
% bat	50013.50000
% batA	0.00000
% batB	0.00000
% batC	90.13672

dt_ms	41644.00
last_read_micros	6557728
current_read_micros	6599372
shunt_voltage	0.00
calculte_coulombs_transffred	-2.0822000503
calculte_milli_coulombs_transffred	-328612.8125000000
battery_capacity_coulomb	54011.5390625000
battery_capacity_milli_coulomb	54011539
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.17258
% bat	50010.68359
% batA	0.00000
% batB	0.00000
% batC	68.88253

BAT PERCENT
50.01 %
dt_ms	76100.00
last_read_micros	6599372
current_read_micros	6675472
shunt_voltage	0.00
calculte_coulombs_transffred	-3.8050001144
calculte_milli_coulombs_transffred	-599287.5000000000
battery_capacity_coulomb	54010.6093750000
battery_capacity_milli_coulomb	54010607
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.17563
% bat	50009.82421
% batA	0.00000
% batB	0.00000
% batC	62.38142

dt_ms	39080.00
last_read_micros	6675472
current_read_micros	6714552
shunt_voltage	0.00
calculte_coulombs_transffred	-1.9539999961
calculte_milli_coulombs_transffred	-307755.0312500000
battery_capacity_coulomb	54001.1445312500
battery_capacity_milli_coulomb	54001144
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.20310
% bat	50001.05859
% batA	0.00000
% batB	0.00000
% batC	-3.62723

dt_ms	41648.00
last_read_micros	6714552
current_read_micros	6756200
